Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
461.000000	10.600000	0.152000	-0.120000	706033.000000	697912.000000	0.005784
464.000000	10.900000	0.156000	-0.120000	703969.000000	697280.000000	0.004774
467.000000	11.200000	0.160000	-0.110000	701996.000000	696248.000000	0.004111
470.000000	11.400000	0.164000	-0.110000	705232.000000	700194.000000	0.003585
473.000000	11.700000	0.168000	-0.120000	700887.000000	698098.000000	0.001994
477.000000	12.000000	0.172000	-0.110000	704914.000000	702906.000000	0.001426
480.000000	12.300000	0.176000	-0.110000	697000.000000	696340.000000	0.000474
483.000000	12.600000	0.180000	-0.110000	697210.000000	696599.000000	0.000438
486.000000	12.800000	0.184000	-0.110000	695882.000000	695231.000000	0.000468
490.000000	13.100000	0.188000	-0.110000	695251.000000	695229.000000	0.000016
493.000000	13.400000	0.192000	-0.120000	698024.000000	696526.000000	0.001074
496.000000	13.700000	0.196000	-0.110000	697154.000000	697415.000000	-0.000187
499.000000	14.000000	0.200000	-0.110000	694948.000000	694644.000000	0.000219
503.000000	14.200000	0.204000	-0.110000	697793.000000	700516.000000	-0.001947
506.000000	14.500000	0.208000	-0.110000	698469.000000	697989.000000	0.000344
509.000000	14.800000	0.212000	-0.110000	699977.000000	700070.000000	-0.000066
512.000000	15.100000	0.216000	-0.110000	701324.000000	703363.000000	-0.001452
516.000000	15.300000	0.220000	-0.110000	704499.000000	704819.000000	-0.000227
519.000000	15.600000	0.224000	-0.110000	702642.000000	702744.000000	-0.000073
522.000000	15.900000	0.228000	-0.110000	692472.000000	694935.000000	-0.001775
525.000000	16.200000	0.232000	-0.110000	693676.000000	695776.000000	-0.001511
529.000000	16.500000	0.236000	-0.110000	695794.000000	698069.000000	-0.001632
532.000000	16.700000	0.240000	-0.110000	696961.000000	700699.000000	-0.002674
535.000000	17.000000	0.244000	-0.110000	700725.000000	703903.000000	-0.002263
538.000000	17.300000	0.248000	-0.110000	696885.000000	700547.000000	-0.002621
542.000000	17.600000	0.252000	-0.110000	700320.000000	704016.000000	-0.002632
545.000000	17.900000	0.256000	-0.110000	695626.000000	700090.000000	-0.003198
548.000000	18.100000	0.260000	-0.110000	688106.000000	692054.000000	-0.002861
551.000000	18.400000	0.264000	-0.110000	693620.000000	697111.000000	-0.002510
555.000000	18.700000	0.268000	-0.110000	701414.000000	704749.000000	-0.002372
558.000000	19.000000	0.272000	-0.110000	697309.000000	700063.000000	-0.001971
561.000000	19.300000	0.276000	-0.110000	697267.000000	700817.000000	-0.002539
564.000000	19.500000	0.280000	-0.110000	692099.000000	695006.000000	-0.002096
568.000000	19.800000	0.284000	-0.110000	691488.000000	695293.000000	-0.002744
571.000000	20.100000	0.288000	-0.110000	692961.000000	697883.000000	-0.003539
574.000000	20.400000	0.292000	-0.110000	693143.000000	698820.000000	-0.004078
577.000000	20.700000	0.296000	-0.110000	695666.000000	700892.000000	-0.003742
581.000000	20.900000	0.300000	-0.110000	699221.000000	704275.000000	-0.003601
584.000000	21.200000	0.304000	-0.110000	693421.000000	697689.000000	-0.003068
587.000000	21.500000	0.308000	-0.110000	690751.000000	698551.000000	-0.005614
590.000000	21.800000	0.312000	-0.110000	693446.000000	698472.000000	-0.003611
594.000000	22.000000	0.316000	-0.110000	683490.000000	688312.000000	-0.003515
597.000000	22.300000	0.320000	-0.110000	697207.000000	703149.000000	-0.004243
600.000000	22.600000	0.324000	-0.110000	699545.000000	703567.000000	-0.002866
603.000000	22.900000	0.328000	-0.110000	694776.000000	700405.000000	-0.004035
607.000000	23.200000	0.332000	-0.110000	696665.000000	700921.000000	-0.003045
610.000000	23.400000	0.336000	-0.110000	697782.000000	702936.000000	-0.003680
613.000000	23.700000	0.340000	-0.110000	696528.000000	701455.000000	-0.003524
616.000000	24.000000	0.344000	-0.110000	698194.000000	702686.000000	-0.003207
